央视频道,#genre#
河南卫视 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227095/index.m3u8
浙江卫视 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225825/index.m3u8
浙江卫视 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227193/index.m3u8
海南卫视 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227216/index.m3u8
海南卫视 576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225855/index.m3u8
海峡卫视 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227198/index.m3u8
深圳卫视 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225848/index.m3u8
深圳卫视 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227242/index.m3u8
湖北卫视 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226863/index.m3u8
湖北卫视 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227111/index.m3u8
湖南卫视 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225827/index.m3u8
湖南卫视 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227232/index.m3u8
甘肃卫视 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227262/index.m3u8
甘肃卫视 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227262/index.m3u8
甘肃卫视 576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225845/index.m3u8
贵州卫视 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227201/index.m3u8
贵州卫视 576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225838/index.m3u8
辽宁卫视 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225832/index.m3u8
辽宁卫视 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227141/index.m3u8
重庆卫视 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225831/index.m3u8
重庆卫视 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227240/index.m3u8
青海卫视 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225841/index.m3u8
青海卫视 576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227119/index.m3u8
黑龙江卫视 3.5M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225862/index.m3u8
